Desc,Link
Russians giving cigarettes to captured ukrainians,https://twitter.com/i/status/1497013223211503624
captured russians claiming to be on an exercise in crimea,https://twitter.com/i/status/1497014634045493250
man with wounded arm (tank battalion commander),https://twitter.com/i/status/1496912948132028419
line of ukrainian prisoners in a yard plus truck,https://twitter.com/i/status/1496856016507617285
